# Output Neuron Index, Sum of Average Intensities (Rounded)
0, 9
1, 12
2, 15
3, 18
4, 21
5, 24
6, 27
7, 30
8, 33
9, 34
10, 35
11, 35
12, 34
13, 33
14, 31
15, 28
16, 25
17, 22
18, 19
19, 16
20, 11
21, 14
22, 17
23, 20
24, 24
25, 28
26, 31
27, 35
28, 37
29, 39
30, 40
31, 40
32, 39
33, 37
34, 35
35, 32
36, 29
37, 25
38, 22
39, 18
40, 13
41, 16
42, 20
43, 23
44, 27
45, 32
46, 36
47, 40
48, 43
49, 45
50, 45
51, 45
52, 44
53, 42
54, 39
55, 36
56, 32
57, 29
58, 25
59, 21
60, 14
61, 18
62, 22
63, 26
64, 31
65, 36
66, 40
67, 45
68, 48
69, 50
70, 51
71, 51
72, 49
73, 47
74, 43
75, 40
76, 36
77, 32
78, 28
79, 23
80, 16
81, 20
82, 25
83, 30
84, 35
85, 40
86, 45
87, 50
88, 53
89, 56
90, 57
91, 56
92, 55
93, 52
94, 48
95, 44
96, 40
97, 35
98, 30
99, 25
100, 18
101, 22
102, 27
103, 33
104, 38
105, 44
106, 50
107, 54
108, 58
109, 61
110, 62
111, 62
112, 60
113, 56
114, 52
115, 48
116, 43
117, 39
118, 33
119, 28
120, 19
121, 24
122, 30
123, 35
124, 41
125, 48
126, 53
127, 59
128, 63
129, 66
130, 67
131, 66
132, 64
133, 61
134, 56
135, 52
136, 47
137, 41
138, 36
139, 30
140, 21
141, 26
142, 32
143, 38
144, 44
145, 51
146, 57
147, 63
148, 67
149, 70
150, 71
151, 70
152, 68
153, 64
154, 60
155, 55
156, 50
157, 44
158, 38
159, 31
160, 22
161, 28
162, 34
163, 40
164, 47
165, 54
166, 60
167, 66
168, 71
169, 73
170, 74
171, 74
172, 71
173, 67
174, 63
175, 57
176, 52
177, 46
178, 39
179, 33
180, 23
181, 29
182, 35
183, 42
184, 49
185, 56
186, 62
187, 68
188, 73
189, 76
190, 77
191, 76
192, 73
193, 69
194, 64
195, 58
196, 53
197, 47
198, 40
199, 33
200, 24
201, 30
202, 37
203, 43
204, 50
205, 57
206, 64
207, 69
208, 74
209, 76
210, 77
211, 76
212, 73
213, 69
214, 64
215, 58
216, 52
217, 46
218, 39
219, 32
220, 25
221, 31
222, 37
223, 44
224, 50
225, 57
226, 63
227, 69
228, 73
229, 76
230, 76
231, 75
232, 72
233, 67
234, 62
235, 56
236, 51
237, 44
238, 38
239, 31
240, 25
241, 31
242, 37
243, 43
244, 50
245, 56
246, 62
247, 67
248, 71
249, 73
250, 74
251, 72
252, 69
253, 65
254, 60
255, 54
256, 48
257, 42
258, 36
259, 29
260, 24
261, 29
262, 35
263, 41
264, 48
265, 54
266, 60
267, 64
268, 68
269, 70
270, 70
271, 69
272, 66
273, 61
274, 56
275, 51
276, 45
277, 40
278, 33
279, 27
280, 22
281, 28
282, 33
283, 39
284, 45
285, 51
286, 56
287, 61
288, 64
289, 66
290, 66
291, 64
292, 61
293, 57
294, 53
295, 48
296, 43
297, 37
298, 31
299, 25
300, 21
301, 26
302, 31
303, 37
304, 43
305, 48
306, 53
307, 57
308, 60
309, 61
310, 61
311, 60
312, 57
313, 53
314, 49
315, 45
316, 40
317, 34
318, 28
319, 23
320, 19
321, 24
322, 29
323, 34
324, 39
325, 44
326, 49
327, 53
328, 55
329, 56
330, 56
331, 55
332, 53
333, 49
334, 45
335, 41
336, 36
337, 31
338, 26
339, 20
340, 17
341, 22
342, 26
343, 31
344, 36
345, 41
346, 45
347, 48
348, 50
349, 51
350, 51
351, 50
352, 48
353, 45
354, 41
355, 37
356, 33
357, 28
358, 23
359, 18
360, 16
361, 19
362, 24
363, 28
364, 32
365, 36
366, 40
367, 43
368, 45
369, 45
370, 45
371, 44
372, 42
373, 40
374, 36
375, 33
376, 29
377, 25
378, 20
379, 16
380, 14
381, 17
382, 21
383, 25
384, 29
385, 32
386, 35
387, 38
388, 39
389, 40
390, 40
391, 39
392, 37
393, 35
394, 32
395, 29
396, 25
397, 21
398, 17
399, 14
